"Frequency (Hz)";"Absolute Amplitude (a.u.)"
1.795312500E4;6.353545451E-3
1.797656250E4;4.491646775E-3
1.800000000E4;4.595091157E-3
1.802343750E4;3.744573863E-3
1.804687500E4;1.077957371E-3
1.807031250E4;2.252527023E-3
1.809375000E4;1.091567368E-3
1.811718750E4;3.708043285E-3
1.814062500E4;4.757990614E-3
1.816406250E4;2.826434532E-3
1.818750000E4;4.692090182E-3
1.821093750E4;3.679004432E-3
1.823437500E4;1.564071084E-3
1.825781250E4;3.668920909E-3
1.828125000E4;2.458414028E-3
1.830468750E4;2.388707743E-3
1.832812500E4;5.933734783E-3
1.835156250E4;3.858775120E-3
1.837500000E4;3.690713317E-3
1.839843750E4;4.817605484E-3
1.842187500E4;6.874424889E-3
1.844531250E4;4.743371265E-3
1.846875000E4;7.785186929E-4
1.849218750E4;5.736190349E-3
1.851562500E4;3.223273523E-3
1.853906250E4;1.188795878E-3
1.856250000E4;2.035948670E-3
1.858593750E4;4.165013747E-3
1.860937500E4;2.083845859E-3
1.863281250E4;9.649284055E-4
1.865625000E4;2.311715203E-3
1.867968750E4;3.884551347E-3
1.870312500E4;3.614312729E-3
1.872656250E4;3.567222374E-3
1.875000000E4;1.953164566E-3
1.877343750E4;3.762210929E-3
1.879687500E4;5.977505840E-3
1.882031250E4;2.010121977E-3
1.884375000E4;4.611212865E-3
1.886718750E4;3.053609329E-3
1.889062500E4;4.956631122E-3
1.891406250E4;4.315680937E-3
1.893750000E4;5.835097734E-3
1.896093750E4;2.225705845E-3
1.898437500E4;1.879696668E-3
1.900781250E4;3.361963272E-3
1.903125000E4;5.450747339E-3
1.905468750E4;4.747264624E-3
1.907812500E4;4.280233464E-3
1.910156250E4;2.424129371E-3
