"Time (s)";"Recording (a.u.)"
8.229166667E-3;2.366133267E-4
8.250000000E-3;-3.552042763E-4
8.270833333E-3;3.348273749E-4
8.291666667E-3;1.368549652E-3
8.312500000E-3;7.799109444E-4
8.333333333E-3;-7.573453477E-4
8.354166667E-3;1.256260148E-4
8.375000000E-3;2.558039501E-3
8.395833333E-3;1.358447596E-3
8.416666667E-3;-1.378475688E-3
8.437500000E-3;-3.070367675E-4
8.458333333E-3;1.400619163E-3
8.479166667E-3;2.291138808E-4
8.500000000E-3;-3.514128330E-4
8.520833333E-3;8.352163713E-4
8.541666667E-3;4.883578513E-4
8.562500000E-3;-2.343140222E-4
8.583333333E-3;9.129360551E-4
8.604166667E-3;9.839549894E-4
8.625000000E-3;-6.243945681E-4
8.645833333E-3;-7.841854676E-5
8.666666667E-3;1.684580231E-3
8.687500000E-3;7.503569359E-4
8.708333333E-3;-9.454949177E-4
8.729166667E-3;1.839181350E-4
8.750000000E-3;1.500679762E-3
8.770833333E-3;-2.248178644E-4
8.791666667E-3;-1.726439339E-3
8.812500000E-3;-2.688204113E-4
8.833333333E-3;1.094831852E-3
8.854166667E-3;6.180634373E-4
8.875000000E-3;1.514695759E-4
8.895833333E-3;-1.964042167E-4
8.916666667E-3;-6.056244019E-4
8.937500000E-3;7.277629920E-4
8.958333333E-3;1.637349022E-3
8.979166667E-3;-7.697588881E-4
9.000000000E-3;-2.031364944E-3
9.020833333E-3;6.762929261E-4
9.041666667E-3;1.591836917E-3
9.062500000E-3;-1.199340797E-3
9.083333333E-3;-1.511431998E-3
9.104166667E-3;6.938315346E-4
9.125000000E-3;2.655492281E-4
9.145833333E-3;-1.290698885E-3
9.166666667E-3;-6.843996234E-4
9.187500000E-3;1.348100923E-4
9.208333333E-3;-7.530698786E-4
9.229166667E-3;-1.263987622E-3
9.250000000E-3;-7.201198605E-4
9.270833333E-3;-9.715069900E-4
9.291666667E-3;-1.792792697E-3
9.312500000E-3;-1.213848358E-3
9.333333333E-3;1.607972081E-4
9.354166667E-3;-7.252365467E-4
9.375000000E-3;-2.281545196E-3
9.395833333E-3;-8.556403336E-4
9.416666667E-3;2.904549474E-4
9.437500000E-3;-1.600971911E-3
9.458333333E-3;-2.294015139E-3
9.479166667E-3;-6.262327079E-4
9.500000000E-3;-2.792693849E-4
9.520833333E-3;-1.450757845E-3
9.541666667E-3;-1.904706354E-3
9.562500000E-3;-1.827314729E-3
9.583333333E-3;-1.320666401E-3
9.604166667E-3;-4.182983539E-4
9.625000000E-3;-1.231024857E-3
9.645833333E-3;-2.407525666E-3
9.666666667E-3;-1.371620339E-3
9.687500000E-3;-7.889295375E-5
9.708333333E-3;-5.921820994E-4
9.729166667E-3;-1.572891255E-3
9.750000000E-3;-1.185545116E-3
9.770833333E-3;-4.877546453E-4
9.791666667E-3;-1.126209740E-3
9.812500000E-3;-2.754527377E-3
9.833333333E-3;-3.013088368E-3
9.854166667E-3;-1.468456350E-3
9.875000000E-3;-1.328938291E-3
9.895833333E-3;-2.671772381E-3
9.916666667E-3;-2.525555668E-3
9.937500000E-3;-1.301718177E-3
9.958333333E-3;-1.434013015E-3
9.979166667E-3;-1.690203091E-3
1.000000000E-2;-1.227287692E-3
1.002083333E-2;-1.905730111E-3
1.004166667E-2;-2.543573268E-3
1.006250000E-2;-1.437518280E-3
1.008333333E-2;-1.685124298E-4
1.010416667E-2;-1.425890368E-3
1.012500000E-2;-3.559229430E-3
1.014583333E-2;-2.608946059E-3
1.016666667E-2;-1.114381375E-4
1.018750000E-2;-2.764595265E-4
1.020833333E-2;-2.448143670E-3
1.022916667E-2;-2.332998440E-3
1.025000000E-2;-6.575278821E-4
1.027083333E-2;-2.793108579E-4
1.029166667E-2;-5.774045130E-4
1.031250000E-2;-1.466864021E-3
1.033333333E-2;-2.635628683E-3
1.035416667E-2;-2.308748197E-3
1.037500000E-2;-1.055390690E-3
1.039583333E-2;-1.746629248E-3
1.041666667E-2;-3.462368622E-3
1.043750000E-2;-2.998594660E-3
1.045833333E-2;-1.427782932E-3
1.047916667E-2;-9.317254298E-4
1.050000000E-2;-1.527165179E-3
1.052083333E-2;-2.097578486E-3
1.054166667E-2;-1.641194220E-3
1.056250000E-2;-1.049434650E-3
1.058333333E-2;-1.428828225E-3
1.060416667E-2;-1.918478520E-3
1.062500000E-2;-1.776496181E-3
1.064583333E-2;-2.267949283E-3
1.066666667E-2;-3.215585602E-3
1.068750000E-2;-2.849148819E-3
1.070833333E-2;-2.343044383E-3
1.072916667E-2;-2.261796733E-3
1.075000000E-2;-1.103518647E-3
1.077083333E-2;-7.495439495E-4
1.079166667E-2;-2.263443079E-3
1.081250000E-2;-2.208976774E-3
1.083333333E-2;-5.976300454E-4
1.085416667E-2;-1.323800534E-3
1.087500000E-2;-3.129998920E-3
1.089583333E-2;-2.348253969E-3
1.091666667E-2;-8.153460803E-4
1.093750000E-2;-1.407996868E-3
1.095833333E-2;-2.291978104E-3
1.097916667E-2;-1.570463297E-3
1.100000000E-2;-1.083313138E-3
1.102083333E-2;-1.986951102E-3
1.104166667E-2;-1.770358649E-3
1.106250000E-2;-9.410458733E-5
1.108333333E-2;1.111320089E-4
1.110416667E-2;-7.093284512E-4
1.112500000E-2;-6.366681773E-4
1.114583333E-2;-7.721447037E-4
1.116666667E-2;-2.172221197E-3
1.118750000E-2;-2.318068407E-3
1.120833333E-2;-1.044740784E-3
1.122916667E-2;-1.580140437E-3
1.125000000E-2;-1.946366043E-3
1.127083333E-2;1.285792823E-4
1.129166667E-2;1.130687771E-3
1.131250000E-2;-7.585235871E-4
1.133333333E-2;-1.437100349E-3
1.135416667E-2;6.898196880E-4
