"Frequency (Hz)";"Absolute Amplitude (a.u.)"
1.539843750E4;1.300113266E-2
1.542187500E4;7.652520768E-3
1.544531250E4;1.695529058E-2
1.546875000E4;5.749095296E-3
1.549218750E4;5.722203478E-3
1.551562500E4;7.689877677E-3
1.553906250E4;4.404359887E-3
1.556250000E4;1.206530092E-2
1.558593750E4;1.026466818E-2
1.560937500E4;2.065089825E-2
1.563281250E4;2.327183823E-2
1.565625000E4;1.091737313E-2
1.567968750E4;1.993426925E-2
1.570312500E4;1.224390396E-2
1.572656250E4;2.033721844E-2
1.575000000E4;2.318631220E-2
1.577343750E4;1.334459699E-2
1.579687500E4;8.603807328E-3
1.582031250E4;6.071083575E-3
1.584375000E4;4.159131592E-3
1.586718750E4;2.136430136E-3
1.589062500E4;4.270087712E-3
1.591406250E4;3.341433627E-3
1.593750000E4;1.941498718E-3
1.596093750E4;4.255191182E-3
1.598437500E4;7.059156589E-3
1.600781250E4;1.795828730E-3
1.603125000E4;5.888400615E-4
1.605468750E4;4.682995224E-3
1.607812500E4;2.549031649E-3
1.610156250E4;1.101166643E-3
1.612500000E4;2.728951420E-3
1.614843750E4;2.312798197E-3
1.617187500E4;1.406722622E-3
1.619531250E4;4.502631646E-3
1.621875000E4;1.185851629E-3
1.624218750E4;1.373681877E-3
1.626562500E4;3.666199410E-3
1.628906250E4;3.413897881E-3
1.631250000E4;1.106598637E-3
1.633593750E4;5.273584773E-3
1.635937500E4;1.282271649E-3
1.638281250E4;3.458613900E-3
1.640625000E4;3.449134897E-3
1.642968750E4;4.383829223E-3
1.645312500E4;2.684635565E-3
1.647656250E4;4.082593108E-3
1.650000000E4;8.677780724E-4
1.652343750E4;5.758424556E-3
1.654687500E4;2.534677529E-3
1.657031250E4;3.005676529E-3
1.659375000E4;5.685313368E-3
1.661718750E4;2.648605240E-3
1.664062500E4;2.691974079E-3
1.666406250E4;3.027358201E-3
1.668750000E4;1.256233246E-3
1.671093750E4;2.734261582E-3
1.673437500E4;2.353201442E-3
1.675781250E4;3.382434442E-3
1.678125000E4;1.810510339E-3
1.680468750E4;2.146315024E-3
1.682812500E4;3.566630335E-3
1.685156250E4;3.411863380E-3
1.687500000E4;2.401104319E-3
1.689843750E4;1.683846181E-3
1.692187500E4;3.844570984E-3
1.694531250E4;5.018508979E-3
1.696875000E4;2.337004224E-3
1.699218750E4;3.167279067E-3
1.701562500E4;2.210196826E-3
1.703906250E4;5.039215509E-3
1.706250000E4;2.295844036E-3
1.708593750E4;3.464354782E-3
1.710937500E4;1.065258798E-3
1.713281250E4;1.361301973E-3
1.715625000E4;4.507859104E-3
1.717968750E4;9.927467864E-4
1.720312500E4;3.103359426E-3
1.722656250E4;2.892436216E-3
1.725000000E4;1.632124997E-3
1.727343750E4;3.162958107E-3
1.729687500E4;1.564522125E-3
1.732031250E4;1.109569499E-3
1.734375000E4;3.361708592E-3
1.736718750E4;2.526025819E-3
1.739062500E4;2.283532448E-3
1.741406250E4;7.536196850E-4
1.743750000E4;1.668526250E-3
1.746093750E4;5.680997554E-4
1.748437500E4;2.560509114E-3
1.750781250E4;3.750652208E-4
1.753125000E4;1.835021322E-3
1.755468750E4;3.827021724E-3
1.757812500E4;3.651677597E-3
1.760156250E4;1.520479388E-3
1.762500000E4;1.228241843E-3
1.764843750E4;3.579490564E-3
1.767187500E4;7.071529729E-4
1.769531250E4;6.238623755E-3
1.771875000E4;2.272063326E-3
1.774218750E4;1.989917515E-3
1.776562500E4;1.934398374E-3
1.778906250E4;6.081270777E-4
1.781250000E4;1.761727293E-3
1.783593750E4;2.093353180E-3
1.785937500E4;1.587071703E-3
1.788281250E4;4.626335683E-3
1.790625000E4;2.787590847E-3
1.792968750E4;3.014199425E-3
1.795312500E4;2.686271617E-3
1.797656250E4;2.372798507E-3
1.800000000E4;3.762380100E-4
1.802343750E4;1.186595564E-3
1.804687500E4;1.382235239E-3
1.807031250E4;4.281253594E-3
1.809375000E4;1.412199689E-3
1.811718750E4;1.996336311E-3
1.814062500E4;1.943528759E-3
1.816406250E4;1.219210218E-3
1.818750000E4;3.910547747E-3
1.821093750E4;3.006466149E-3
1.823437500E4;3.261456661E-3
1.825781250E4;6.967847838E-5
1.828125000E4;2.145477090E-3
1.830468750E4;2.720552923E-3
1.832812500E4;1.673103299E-3
1.835156250E4;1.177955458E-3
1.837500000E4;3.098900622E-3
1.839843750E4;4.392238283E-3
1.842187500E4;2.263768601E-3
1.844531250E4;2.187240367E-3
1.846875000E4;2.665819188E-3
1.849218750E4;2.495583808E-3
1.851562500E4;9.266124133E-4
1.853906250E4;2.755470540E-3
1.856250000E4;2.141448414E-3
1.858593750E4;1.010367738E-3
1.860937500E4;1.563345420E-3
1.863281250E4;1.149552350E-3
1.865625000E4;3.063782344E-3
1.867968750E4;4.615443588E-3
1.870312500E4;1.239757051E-3
1.872656250E4;2.486773229E-3
1.875000000E4;1.443838882E-3
1.877343750E4;2.114373867E-3
1.879687500E4;1.366544025E-3
1.882031250E4;1.356541014E-3
1.884375000E4;3.413672097E-3
1.886718750E4;3.038281678E-3
1.889062500E4;3.350244148E-3
1.891406250E4;9.791804839E-4
1.893750000E4;4.252892127E-3
1.896093750E4;9.568898041E-4
1.898437500E4;5.613334367E-3
