"Time (s)";"Recording (a.u.)"
8.791666667E-3;1.444191090E-3
8.812500000E-3;1.490146620E-3
8.833333333E-3;1.324302983E-3
8.854166667E-3;1.317995833E-3
8.875000000E-3;1.426907489E-3
8.895833333E-3;1.610740554E-3
8.916666667E-3;1.953120925E-3
8.937500000E-3;2.190654632E-3
8.958333333E-3;2.166217659E-3
8.979166667E-3;2.062561922E-3
9.000000000E-3;2.096369397E-3
9.020833333E-3;2.366977278E-3
9.041666667E-3;2.439642325E-3
9.062500000E-3;2.022722503E-3
9.083333333E-3;1.717609819E-3
9.104166667E-3;1.860806602E-3
9.125000000E-3;1.903088996E-3
9.145833333E-3;1.518286532E-3
9.166666667E-3;1.333885710E-3
9.187500000E-3;1.194863347E-3
9.208333333E-3;6.779260584E-4
9.229166667E-3;6.152040442E-4
9.250000000E-3;7.907812833E-4
9.270833333E-3;5.971021601E-4
9.291666667E-3;6.075057318E-4
9.312500000E-3;9.474031394E-4
9.333333333E-3;1.035172143E-3
9.354166667E-3;7.409448153E-4
9.375000000E-3;6.900691078E-4
9.395833333E-3;1.018127077E-3
9.416666667E-3;1.186662121E-3
9.437500000E-3;1.231490634E-3
9.458333333E-3;1.169346739E-3
9.479166667E-3;1.003655256E-3
9.500000000E-3;9.871168295E-4
9.520833333E-3;8.828348946E-4
9.541666667E-3;1.027464750E-3
9.562500000E-3;1.501785591E-3
9.583333333E-3;1.490930445E-3
9.604166667E-3;1.222319785E-3
9.625000000E-3;1.412211219E-3
9.645833333E-3;1.872991677E-3
9.666666667E-3;1.784453169E-3
9.687500000E-3;1.466911286E-3
9.708333333E-3;1.839491422E-3
9.729166667E-3;2.192991087E-3
9.750000000E-3;1.904273056E-3
9.770833333E-3;1.668110723E-3
9.791666667E-3;1.666466123E-3
9.812500000E-3;1.801728620E-3
9.833333333E-3;1.812514267E-3
9.854166667E-3;1.283074031E-3
9.875000000E-3;9.038447170E-4
9.895833333E-3;1.015839749E-3
9.916666667E-3;1.019551419E-3
9.937500000E-3;5.265261861E-4
9.958333333E-3;3.810030466E-5
9.979166667E-3;1.132818652E-4
1.000000000E-2;1.719940046E-4
1.002083333E-2;-1.020132913E-4
1.004166667E-2;-3.178497427E-4
1.006250000E-2;-4.806587822E-5
1.008333333E-2;1.144692069E-4
1.010416667E-2;-4.368390073E-4
1.012500000E-2;-7.754653343E-4
1.014583333E-2;-6.240101065E-4
1.016666667E-2;-3.978368477E-4
1.018750000E-2;-4.495843023E-4
1.020833333E-2;-9.920743760E-4
1.022916667E-2;-1.182166627E-3
1.025000000E-2;-7.016852032E-4
1.027083333E-2;-8.782410296E-4
1.029166667E-2;-1.852686168E-3
1.031250000E-2;-2.084231004E-3
1.033333333E-2;-1.596800168E-3
1.035416667E-2;-1.418930246E-3
1.037500000E-2;-1.255239593E-3
1.039583333E-2;-1.066936413E-3
1.041666667E-2;-1.579380361E-3
1.043750000E-2;-1.912389998E-3
1.045833333E-2;-1.613686793E-3
1.047916667E-2;-1.777422731E-3
1.050000000E-2;-2.183856908E-3
1.052083333E-2;-2.254678868E-3
1.054166667E-2;-2.388343448E-3
1.056250000E-2;-2.847960917E-3
1.058333333E-2;-3.157689236E-3
1.060416667E-2;-3.319293726E-3
1.062500000E-2;-3.788742237E-3
1.064583333E-2;-4.206438083E-3
1.066666667E-2;-4.524502903E-3
1.068750000E-2;-4.873794038E-3
1.070833333E-2;-5.098324735E-3
1.072916667E-2;-5.265825428E-3
1.075000000E-2;-5.064989440E-3
1.077083333E-2;-4.677267745E-3
1.079166667E-2;-4.732599948E-3
1.081250000E-2;-5.289920140E-3
1.083333333E-2;-5.574015900E-3
1.085416667E-2;-4.809232894E-3
1.087500000E-2;-3.973050043E-3
1.089583333E-2;-3.865694394E-3
1.091666667E-2;-4.401938990E-3
1.093750000E-2;-4.928547423E-3
1.095833333E-2;-4.433278460E-3
1.097916667E-2;-3.935006447E-3
1.100000000E-2;-4.300622270E-3
1.102083333E-2;-4.716091789E-3
1.104166667E-2;-4.623053595E-3
1.106250000E-2;-4.464356229E-3
1.108333333E-2;-4.860769026E-3
1.110416667E-2;-5.526877008E-3
1.112500000E-2;-5.897439085E-3
1.114583333E-2;-5.502873566E-3
1.116666667E-2;-4.860161338E-3
1.118750000E-2;-4.658129066E-3
1.120833333E-2;-4.695103038E-3
1.122916667E-2;-4.892331082E-3
1.125000000E-2;-4.578475840E-3
1.127083333E-2;-3.398470813E-3
1.129166667E-2;-2.402450424E-3
1.131250000E-2;-2.498773625E-3
1.133333333E-2;-3.032681067E-3
1.135416667E-2;-2.688232809E-3
1.137500000E-2;-1.833833405E-3
1.139583333E-2;-1.353339292E-3
1.141666667E-2;-1.170095289E-3
1.143750000E-2;-1.043557539E-3
1.145833333E-2;-1.021574833E-3
1.147916667E-2;-1.120567438E-3
1.150000000E-2;-1.218052581E-3
1.152083333E-2;-1.093071303E-3
1.154166667E-2;-4.002952483E-4
1.156250000E-2;8.847461140E-5
1.158333333E-2;-3.452487363E-5
1.160416667E-2;1.047249752E-4
1.162500000E-2;4.858900502E-4
1.164583333E-2;6.874171086E-4
1.166666667E-2;7.348457584E-4
1.168750000E-2;9.415878449E-4
1.170833333E-2;1.040469389E-3
1.172916667E-2;6.713622133E-4
1.175000000E-2;3.883230092E-4
1.177083333E-2;5.648233346E-4
1.179166667E-2;8.800978540E-4
1.181250000E-2;6.213752786E-4
1.183333333E-2;6.472768291E-5
1.185416667E-2;-6.580513582E-5
1.187500000E-2;-1.181844782E-4
1.189583333E-2;-2.524270967E-4
1.191666667E-2;-2.659994352E-4
1.193750000E-2;-2.264395880E-5
1.195833333E-2;6.320279208E-4
1.197916667E-2;1.083832001E-3
1.200000000E-2;9.391640779E-4
1.202083333E-2;8.491045446E-4
1.204166667E-2;1.021099393E-3
1.206250000E-2;1.198739745E-3
1.208333333E-2;1.461313106E-3
1.210416667E-2;1.783794956E-3
1.212500000E-2;1.681425259E-3
1.214583333E-2;1.009238302E-3
1.216666667E-2;4.200644617E-4
1.218750000E-2;4.271529033E-4
1.220833333E-2;6.164452061E-4
1.222916667E-2;4.109117726E-4
1.225000000E-2;7.052664296E-5
1.227083333E-2;1.786707726E-4
1.229166667E-2;5.591180525E-4
1.231250000E-2;4.464230151E-4
1.233333333E-2;3.891120141E-4
1.235416667E-2;1.019560033E-3
1.237500000E-2;1.231968054E-3
1.239583333E-2;6.679171347E-4
1.241666667E-2;3.081025789E-4
1.243750000E-2;6.178864278E-4
1.245833333E-2;7.909175474E-4
1.247916667E-2;4.464511003E-4
1.250000000E-2;-9.392551874E-7
1.252083333E-2;-3.023286408E-4
1.254166667E-2;-7.324419130E-5
1.256250000E-2;1.781852479E-4
1.258333333E-2;-1.289105567E-4
1.260416667E-2;-4.163689446E-4
